param_value,n_nodes,run_id,tau
0.15,10,47,5561
0.15,10,48,6826
0.15,10,49,6286
0.15,10,50,5509
0.15,10,51,5652
0.15,10,52,5234
0.15,10,53,6000
0.15,10,54,5124
0.15,10,55,5739
0.15,10,56,4542
0.15,10,57,4714
0.15,10,58,5994
0.15,10,59,5575
0.15,10,60,5335
0.15,10,61,5400
0.15,10,62,5662
0.15,10,63,5503
0.15,10,64,4525
0.15,10,65,4691
0.15,10,66,4815
0.15,10,67,6150
0.15,10,68,6411
0.15,10,69,5386
0.15,10,70,5868
0.15,10,71,5303
0.15,10,72,7140
0.15,10,73,5595
0.15,10,74,5488
0.15,10,75,4344
0.15,10,76,5177
0.15,10,77,4485
0.15,10,78,4894
0.15,10,79,6421
0.15,10,80,4160
0.15,10,81,4947
0.15,10,82,4982
0.15,10,83,4400
0.15,10,84,5699
0.15,10,85,5739
0.15,10,86,5555
0.15,10,87,7129
0.15,10,88,5233
0.15,10,89,4763
0.15,10,90,5520
0.15,10,91,6312
0.15,10,92,5446
0.15,10,93,4734
0.15,10,94,5364
0.15,10,95,4820
0.15,10,96,5528
0.15,10,97,5468
0.15,10,98,5292
0.15,10,99,5298
0.15,10,100,5579
0.15,10,101,5178
0.15,10,102,5031
0.15,10,103,4568
0.15,10,104,4703
0.15,10,105,5795
0.15,10,106,6047
0.15,10,107,5644
0.15,10,108,4589
0.15,10,109,6225
0.15,10,110,4414
0.15,10,111,4036
0.15,10,112,6990
0.15,10,113,6682
0.15,10,114,5873
0.15,10,115,5322
0.15,10,116,6489
0.15,10,117,6008
0.15,10,118,5064
0.15,10,119,5074
0.15,10,120,5434
0.15,10,121,5428
0.15,10,122,7304
0.15,10,123,6178
0.15,10,124,4892
0.15,10,125,5703
0.15,10,126,4148
0.15,10,127,6902
0.15,10,128,5483
0.15,10,129,6171
0.15,10,130,5256
0.15,10,131,5706
0.15,10,132,5619
0.15,10,133,5602
0.15,10,134,5505
0.15,10,135,6519
0.15,10,136,5412
0.15,10,137,5843
0.15,10,138,6983
0.15,10,139,5009
0.15,10,140,5119
0.15,10,141,6239
0.15,10,142,6162
0.15,10,143,5121
0.15,10,144,6295
0.15,10,145,2783
0.15,10,146,5747
0.15,10,147,6486
0.15,10,148,5706
0.15,10,149,4212
0.2,10,0,4841
0.2,10,1,4996
0.2,10,2,4179
0.2,10,3,4717
0.2,10,4,4483
0.2,10,5,4029
0.2,10,6,4286
0.2,10,7,4738
0.2,10,8,3999
0.2,10,9,3928
0.2,10,10,4161
0.2,10,11,4397
0.2,10,12,5639
0.2,10,13,5287
0.2,10,14,3848
0.2,10,15,4628
0.2,10,16,4830
0.2,10,17,5656
0.2,10,18,3381
0.2,10,19,4725
0.2,10,20,3820
0.2,10,21,4151
0.2,10,22,4055
0.2,10,23,3725
0.2,10,24,5102
0.2,10,25,4928
0.2,10,26,4205
0.2,10,27,3867
0.2,10,28,4045
0.2,10,29,4010
0.2,10,30,5105
0.2,10,31,4101
0.2,10,32,4162
0.2,10,33,4413
0.2,10,34,4741
0.2,10,35,4110
0.2,10,36,4129
0.2,10,37,4404
0.2,10,38,5330
0.2,10,39,4133
0.2,10,40,4832
0.2,10,41,4626
0.2,10,42,4370
0.2,10,43,4214
0.2,10,44,3258
0.2,10,45,3346
0.2,10,46,3662
0.2,10,47,4959
0.2,10,48,4159
0.2,10,49,5225
0.2,10,50,4676
0.2,10,51,4874
0.2,10,52,4767
0.2,10,53,4456
0.2,10,54,4487
0.2,10,55,4712
0.2,10,56,4087
0.2,10,57,4304
0.2,10,58,4235
0.2,10,59,3179
0.2,10,60,4154
0.2,10,61,4127
0.2,10,62,4735
0.2,10,63,4598
0.2,10,64,4221
0.2,10,65,3918
0.2,10,66,4289
0.2,10,67,5452
0.2,10,68,5363
0.2,10,69,3811
0.2,10,70,5120
0.2,10,71,3642
0.2,10,72,4704
0.2,10,73,5093
0.2,10,74,3997
0.2,10,75,3700
0.2,10,76,5046
0.2,10,77,3618
0.2,10,78,4098
0.2,10,79,4791
0.2,10,80,3464
0.2,10,81,4888
0.2,10,82,4606
0.2,10,83,2855
0.2,10,84,4762
0.2,10,85,4384
0.2,10,86,4379
0.2,10,87,5435
0.2,10,88,3965
0.2,10,89,5798
0.2,10,90,3803
0.2,10,91,4483
0.2,10,92,3942
0.2,10,93,3812
0.2,10,94,4640
0.2,10,95,3645
0.2,10,96,4411
0.2,10,97,4793
0.2,10,98,4317
0.2,10,99,4776
0.2,10,100,4512
0.2,10,101,4548
0.2,10,102,4811
0.2,10,103,4378
0.2,10,104,2975
0.2,10,105,4901
0.2,10,106,4502
0.2,10,107,4488
0.2,10,108,3101
0.2,10,109,4083
0.2,10,110,3646
0.2,10,111,3924
0.2,10,112,4874
0.2,10,113,5309
0.2,10,114,4867
0.2,10,115,3818
0.2,10,116,5098
0.2,10,117,4984
0.2,10,118,4300
0.2,10,119,4558
0.2,10,120,4288
0.2,10,121,3686
0.2,10,122,4900
0.2,10,123,4945
0.2,10,124,3980
0.2,10,125,4800
0.2,10,126,3950
0.2,10,127,5309
0.2,10,128,4244
0.2,10,129,4824
0.2,10,130,4256
0.2,10,131,4889
0.2,10,132,4459
0.2,10,133,3629
0.2,10,134,4396
0.2,10,135,5329
0.2,10,136,3709
0.2,10,137,4082
0.2,10,138,5120
0.2,10,139,3994
0.2,10,140,4502
0.2,10,141,4555
0.2,10,142,3361
0.2,10,143,4194
0.2,10,144,3958
0.2,10,145,2736
