n_nodes,alpha,rebalance_active,run_id,tau,rebalances_done
50,0.2,True,19,108150,46
50,0.4,False,0,57763,0
50,0.4,False,1,57990,0
50,0.4,False,2,57402,0
50,0.4,False,3,62136,0
50,0.4,False,4,62244,0
50,0.4,False,5,58905,0
50,0.4,False,6,51318,0
50,0.4,False,7,53320,0
50,0.4,False,8,61632,0
50,0.4,False,9,60508,0
50,0.4,False,10,59577,0
50,0.4,False,11,64705,0
50,0.4,False,12,62757,0
50,0.4,False,13,62746,0
50,0.4,False,14,58712,0
50,0.4,False,15,60746,0
50,0.4,False,16,61889,0
50,0.4,False,17,56505,0
50,0.4,False,18,62657,0
50,0.4,False,19,59580,0
50,0.4,True,0,55840,58
50,0.4,True,1,56380,120
50,0.4,True,2,54550,34
50,0.4,True,3,57530,129
50,0.4,True,4,55800,154
50,0.4,True,5,57770,183
50,0.4,True,6,56530,164
50,0.4,True,7,57040,139
50,0.4,True,8,57730,164
50,0.4,True,9,52650,20
50,0.4,True,10,54890,96
50,0.4,True,11,58600,347
50,0.4,True,12,54800,75
50,0.4,True,13,56960,57
50,0.4,True,14,55310,58
50,0.4,True,15,56400,118
50,0.4,True,16,52670,24
50,0.4,True,17,54800,58
50,0.4,True,18,55970,63
50,0.4,True,19,54600,26
50,0.6,False,0,42990,0
50,0.6,False,1,41728,0
50,0.6,False,2,42192,0
50,0.6,False,3,44427,0
50,0.6,False,4,42072,0
50,0.6,False,5,44094,0
50,0.6,False,6,39893,0
50,0.6,False,7,41968,0
50,0.6,False,8,44867,0
50,0.6,False,9,42595,0
50,0.6,False,10,38451,0
50,0.6,False,11,42612,0
50,0.6,False,12,44238,0
50,0.6,False,13,41870,0
50,0.6,False,14,45490,0
50,0.6,False,15,41704,0
50,0.6,False,16,35891,0
50,0.6,False,17,40536,0
50,0.6,False,18,43753,0
50,0.6,False,19,43380,0
50,0.6,True,0,38080,155
50,0.6,True,1,38840,228
50,0.6,True,2,35230,15
50,0.6,True,3,37440,64
50,0.6,True,4,36930,59
50,0.6,True,5,38140,64
50,0.6,True,6,37240,89
50,0.6,True,7,35500,13
50,0.6,True,8,38430,105
50,0.6,True,9,35390,6
50,0.6,True,10,36070,26
50,0.6,True,11,37860,156
50,0.6,True,12,35070,45
50,0.6,True,13,38220,70
50,0.6,True,14,37940,135
50,0.6,True,15,37240,60
50,0.6,True,16,38650,107
50,0.6,True,17,37160,72
50,0.6,True,18,36920,112
50,0.6,True,19,38310,80
60,0.0,False,0,1265233,0
60,0.0,False,1,1217591,0
60,0.0,False,2,823811,0
60,0.0,False,3,1291656,0
60,0.0,False,4,1519152,0
60,0.0,False,5,1186491,0
60,0.0,False,6,1175200,0
60,0.0,False,7,1222496,0
60,0.0,False,8,1164837,0
60,0.0,False,9,1630061,0
60,0.0,False,10,1204215,0
60,0.0,False,11,1275153,0
60,0.0,False,12,1151625,0
60,0.0,False,13,1098071,0
60,0.0,False,14,1235563,0
60,0.0,False,15,929422,0
60,0.0,False,16,1218842,0
60,0.0,False,17,1477305,0
60,0.0,False,18,1223731,0
60,0.0,False,19,992232,0
60,0.2,False,0,152031,0
60,0.2,False,1,130996,0
60,0.2,False,2,140615,0
60,0.2,False,3,128558,0
60,0.2,False,4,140143,0
60,0.2,False,5,129444,0
60,0.2,False,6,141541,0
60,0.2,False,7,122065,0
60,0.2,False,8,141061,0
60,0.2,False,9,135788,0
60,0.2,False,10,124459,0
60,0.2,False,11,129324,0
60,0.2,False,12,142504,0
60,0.2,False,13,131262,0
60,0.2,False,14,139114,0
60,0.2,False,15,147187,0
60,0.2,False,16,133099,0
60,0.2,False,17,138520,0
60,0.2,False,18,125064,0
60,0.2,False,19,138144,0
60,0.2,True,0,127050,44
60,0.2,True,1,125350,55
60,0.2,True,2,133950,146
60,0.2,True,3,127150,33
60,0.2,True,4,135230,331
60,0.2,True,5,133510,96
60,0.2,True,6,120850,10
60,0.2,True,7,136630,148
60,0.2,True,8,123750,36
60,0.2,True,9,126640,85
60,0.2,True,10,133990,188
60,0.2,True,11,129830,41
60,0.2,True,12,136640,131
60,0.2,True,13,138340,322
60,0.2,True,14,133370,112
60,0.2,True,15,136460,196
60,0.2,True,16,122500,10
60,0.2,True,17,127540,55
60,0.2,True,18,119540,16
60,0.2,True,19,134370,120
60,0.4,False,0,70679,0
60,0.4,False,1,71600,0
60,0.4,False,2,73899,0
60,0.4,False,3,72624,0
60,0.4,False,4,68255,0
60,0.4,False,5,79197,0
60,0.4,False,6,67712,0
60,0.4,False,7,73092,0
60,0.4,False,8,76817,0
60,0.4,False,9,75795,0
60,0.4,False,10,74769,0
60,0.4,False,11,72102,0
60,0.4,False,12,69906,0
60,0.4,False,13,71176,0
60,0.4,False,14,75850,0
60,0.4,False,15,75565,0
60,0.4,False,16,74789,0
60,0.4,False,17,71688,0
60,0.4,False,18,73083,0
60,0.4,False,19,74668,0
60,0.4,True,0,65170,25
60,0.4,True,1,65910,56
60,0.4,True,2,65580,42
60,0.4,True,3,60820,12
60,0.4,True,4,67710,121
60,0.4,True,5,67260,50
60,0.4,True,6,63530,31
60,0.4,True,7,65110,18
60,0.4,True,8,66260,31
60,0.4,True,9,67230,61
60,0.4,True,10,70040,315
60,0.4,True,11,64900,23
60,0.4,True,12,65570,51
60,0.4,True,13,68790,240
60,0.4,True,14,67230,95
60,0.4,True,15,65530,43
60,0.4,True,16,67490,149
60,0.4,True,17,64730,79
60,0.4,True,18,67430,127
60,0.4,True,19,65770,45
50,0.6,False,3,44427,0
50,0.6,False,4,42072,0
50,0.6,False,5,44094,0
50,0.6,False,6,39893,0
50,0.6,False,7,41968,0
50,0.6,False,8,44867,0
50,0.6,False,9,42595,0
50,0.6,False,10,38451,0
50,0.6,False,11,42612,0
50,0.6,False,12,44238,0
50,0.6,False,13,41870,0
50,0.6,False,14,45490,0
50,0.6,False,15,41704,0
50,0.6,False,16,35891,0
50,0.6,False,17,40536,0
50,0.6,False,18,43753,0
50,0.6,False,19,43380,0
50,0.6,True,0,38080,155
50,0.6,True,1,38840,228
50,0.6,True,2,35230,15
50,0.6,True,3,37440,64
50,0.6,True,4,36930,59
50,0.6,True,5,38140,64
50,0.6,True,6,37240,89
50,0.6,True,7,35500,13
50,0.6,True,8,38430,105
50,0.6,True,9,35390,6
50,0.6,True,10,36070,26
50,0.6,True,11,37860,156
50,0.6,True,12,35070,45
50,0.6,True,13,38220,70
50,0.6,True,14,37940,135
50,0.6,True,15,37240,60
50,0.6,True,16,38650,107
50,0.6,True,17,37160,72
50,0.6,True,18,36920,112
50,0.6,True,19,38310,80
60,0.0,False,0,1265233,0
60,0.0,False,1,1217591,0
60,0.0,False,2,823811,0
60,0.0,False,3,1291656,0
60,0.0,False,4,1519152,0
60,0.0,False,5,1186491,0
60,0.0,False,6,1175200,0
60,0.0,False,7,1222496,0
60,0.0,False,8,1164837,0
60,0.0,False,9,1630061,0
60,0.0,False,10,1204215,0
60,0.0,False,11,1275153,0
60,0.0,False,12,1151625,0
60,0.0,False,13,1098071,0
60,0.0,False,14,1235563,0
60,0.0,False,15,929422,0
60,0.0,False,16,1218842,0
60,0.0,False,17,1477305,0
60,0.0,False,18,1223731,0
60,0.0,False,19,992232,0
60,0.2,False,0,152031,0
60,0.2,False,1,130996,0
60,0.2,False,2,140615,0
60,0.2,False,3,128558,0
60,0.2,False,4,140143,0
60,0.2,False,5,129444,0
60,0.2,False,6,141541,0
60,0.2,False,7,122065,0
60,0.2,False,8,141061,0
60,0.2,False,9,135788,0
60,0.2,False,10,124459,0
60,0.2,False,11,129324,0
60,0.2,False,12,142504,0
60,0.2,False,13,131262,0
60,0.2,False,14,139114,0
60,0.2,False,15,147187,0
60,0.2,False,16,133099,0
60,0.2,False,17,138520,0
60,0.2,False,18,125064,0
60,0.2,False,19,138144,0
60,0.2,True,0,127050,44
60,0.2,True,1,125350,55
60,0.2,True,2,133950,146
60,0.2,True,3,127150,33
60,0.2,True,4,135230,331
60,0.2,True,5,133510,96
60,0.2,True,6,120850,10
60,0.2,True,7,136630,148
60,0.2,True,8,123750,36
60,0.2,True,9,126640,85
60,0.2,True,10,133990,188
60,0.2,True,11,129830,41
60,0.2,True,12,136640,131
60,0.2,True,13,138340,322
60,0.2,True,14,133370,112
60,0.2,True,15,136460,196
60,0.2,True,16,122500,10
60,0.2,True,17,127540,55
60,0.2,True,18,119540,16
60,0.2,True,19,134370,120
60,0.4,False,0,70679,0
60,0.4,False,1,71600,0
60,0.4,False,2,73899,0
60,0.4,False,3,72624,0
60,0.4,False,4,68255,0
60,0.4,False,5,79197,0
60,0.4,False,6,67712,0
60,0.4,False,7,73092,0
60,0.4,False,8,76817,0
60,0.4,False,9,75795,0
60,0.4,False,10,74769,0
60,0.4,False,11,72102,0
60,0.4,False,12,69906,0
60,0.4,False,13,71176,0
60,0.4,False,14,75850,0
60,0.4,False,15,75565,0
60,0.4,False,16,74789,0
60,0.4,False,17,71688,0
60,0.4,False,18,73083,0
60,0.4,False,19,74668,0
